figure,population,occurrences,post_id,slug,page_class,import_status,withdrawn,wave_assignment,attested,verified_in_service_specs,disposition,blocks_all_waves,context
4%,council-sourced-pending-verification,1,12,homepage,home,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ded specification is 32 MPa concrete, 125mm thickness, SL72 fabric, 4.0-5.5m urban width, a 1200mm footpath allocation, 4% crossfall and a maximum 1:6 batter. Tier 1 service areas are Oran Park , Leppington , Gregory Hills , Gledswood Hills , Austral and Harrington Park . Camden"
4%,council-sourced-pending-verification,1,1367,shed-and-garage-slabs-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. shed-slab scope documents intended use; shed-slab scope keeps provenance visible. shed-slab scope tests the loading; shed"
4.0-5.5m,council-sourced-pending-verification,1,706,camden-council-driveway-crossing,guide,draft,YES,none — WITHDRAWN (D21),NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"d verbatim. Camden Council's recorded urban residential specification is 32 MPa concrete, 125mm thickness, SL72 fabric, 4.0-5.5m width, a 1200mm footpath allocation, 4% crossfall and maximum 1:6 batter. camden-council-driveway-guide lists decision owner; camden-council-driveway-g"
4.0-5.5m,council-sourced-pending-verification,1,1369,commercial-concreting-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"k scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. hardstand-work scope tracks intended"
4.0-5.5m,council-sourced-pending-verification,1,1368,concrete-crossovers-and-laybacks-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"k scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is"
4.0-5.5m,council-sourced-pending-verification,1,1366,concrete-driveway-replacement-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"y scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is"
4.0-5.5m,council-sourced-pending-verification,1,105,concrete-driveways-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"y scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is"
4.0-5.5m,council-sourced-pending-verification,1,178,concrete-paths-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"k scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. pathway-work scope tracks intended u"
4.0-5.5m,council-sourced-pending-verification,1,195,concrete-patios-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"b scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. alfresco-slab scope logs intended us"
4.0-5.5m,council-sourced-pending-verification,1,163,concrete-slabs-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"b scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is"
4.0-5.5m,council-sourced-pending-verification,1,1371,concreters-catherine-field,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"y by Council approval. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Catherine F"
4.0-5.5m,council-sourced-pending-verification,1,1379,concreters-cobbitty,suburb,draft,no,none — unresearched,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"houlder seal required. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Cobbitty st"
4.0-5.5m,council-sourced-pending-verification,1,1376,concreters-currans-hill,suburb,draft,no,none — unresearched,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"is altered or widened. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Currans Hil"
4.0-5.5m,council-sourced-pending-verification,1,1378,concreters-elderslie,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"or altered crossovers. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Elderslie s"
4.0-5.5m,council-sourced-pending-verification,1,1370,concreters-gledswood-hills,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"room finish is quoted. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. For crossover work in Gledswood Hill"
4.0-5.5m,council-sourced-pending-verification,1,969,concreters-gregory-hills,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"attached to the site. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Gregory Hil"
4.0-5.5m,council-sourced-pending-verification,1,1126,concreters-harrington-park,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"nfirm before starting. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Harrington"
4.0-5.5m,council-sourced-pending-verification,1,1375,concreters-mount-annan,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"Crossing Application. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Mount Annan"
4.0-5.5m,council-sourced-pending-verification,1,1372,concreters-narellan,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"Driveway Application. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Narellan st"
4.0-5.5m,council-sourced-pending-verification,1,1377,concreters-spring-farm,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ard spec can't be met. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Spring Farm"
4.0-5.5m,council-sourced-pending-verification,1,922,decorative-concrete-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"h scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is"
4.0-5.5m,council-sourced-pending-verification,1,129,exposed-aggregate-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"h scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. aggregate-finish scope records inten"
4.0-5.5m,council-sourced-pending-verification,1,12,homepage,home,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"For a Camden Council residential crossing, the recorded specification is 32 MPa concrete, 125mm thickness, SL72 fabric, 4.0-5.5m urban width, a 1200mm footpath allocation, 4% crossfall and a maximum 1:6 batter. Tier 1 service areas are Oran Park , Leppington , Gregory Hills , Gle"
4.0-5.5m,council-sourced-pending-verification,1,1367,shed-and-garage-slabs-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"b scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. shed-slab scope documents intended u"
800mm,council-sourced-pending-verification,1,1369,commercial-concreting-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. hardstand-work scope tracks intended use; hardstand-work scope keeps provenance visible. hardstand-w"
800mm,council-sourced-pending-verification,2,1467,concrete-crossovers-and-laybacks-oran-park,intersection,draft,YES,none — WITHDRAWN (D16),NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"eeps it open. The supplied evidence authorising this exact intersection is: The footpath allocation in Oran Park starts 800mm from the property boundary, not the 900mm that applies across the rest of the Camden LGA. The allocation is 1200mm wide either way. Get the layback set-ou"
800mm,council-sourced-pending-verification,1,1368,concrete-crossovers-and-laybacks-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in Driveway Crossover Cost NSW before it is applied to"
800mm,council-sourced-pending-verification,1,1366,concrete-driveway-replacement-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in How Long Before You Can Drive On Concrete before it"
800mm,council-sourced-pending-verification,1,105,concrete-driveways-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in What Actually Moves A Concrete Quote before it is ap"
800mm,council-sourced-pending-verification,1,178,concrete-paths-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. pathway-work scope tracks intended use; pathway-work scope leaves an audit trail. pathway-work scope"
800mm,council-sourced-pending-verification,1,195,concrete-patios-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. alfresco-slab scope logs intended use; alfresco-slab scope keeps the basis explicit. alfresco-slab s"
800mm,council-sourced-pending-verification,1,163,concrete-slabs-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in Shed Slab Cost before it is applied to a project sco"
800mm,council-sourced-pending-verification,1,1371,concreters-catherine-field,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Catherine Field starts, the governing lot and application path are checked."
800mm,council-sourced-pending-verification,1,1379,concreters-cobbitty,suburb,draft,no,none — unresearched,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Cobbitty starts, the governing lot and application path are checked. The re"
800mm,council-sourced-pending-verification,1,1376,concreters-currans-hill,suburb,draft,no,none — unresearched,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Currans Hill starts, the governing lot and application path are checked. Th"
800mm,council-sourced-pending-verification,1,1378,concreters-elderslie,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Elderslie starts, the governing lot and application path are checked. The r"
800mm,council-sourced-pending-verification,1,1370,concreters-gledswood-hills,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. For crossover work in Gledswood Hills , council geometry and the estate finish control are both conf"
800mm,council-sourced-pending-verification,1,969,concreters-gregory-hills,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Gregory Hills starts, the governing lot and application path are checked. T"
800mm,council-sourced-pending-verification,1,1126,concreters-harrington-park,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Harrington Park starts, the governing lot and application path are checked."
800mm,council-sourced-pending-verification,1,1375,concreters-mount-annan,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Mount Annan starts, the governing lot and application path are checked. The"
800mm,council-sourced-pending-verification,1,1372,concreters-narellan,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Narellan starts, the governing lot and application path are checked. The re"
800mm,council-sourced-pending-verification,3,474,concreters-oran-park,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"back a year later. One local detail worth knowing before anyone quotes you: the footpath allocation in Oran Park starts 800mm from your property boundary, not the 900mm that applies across the rest of Camden. Get the crossover set-out wrong by that 100mm and it fails inspection."
800mm,council-sourced-pending-verification,1,1377,concreters-spring-farm,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Spring Farm starts, the governing lot and application path are checked. The"
800mm,council-sourced-pending-verification,1,922,decorative-concrete-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in Honed And Polished Concrete before it is applied to"
800mm,council-sourced-pending-verification,1,129,exposed-aggregate-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. aggregate-finish scope records intended use; aggregate-finish scope retains the source. aggregate-fi"
800mm,council-sourced-pending-verification,1,1367,shed-and-garage-slabs-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"roduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. shed-slab scope documents intended use; shed-slab scope keeps provenance visible. shed-slab scope te"
900mm,council-sourced-pending-verification,1,1369,commercial-concreting-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. hardstand-work scope tracks intended use; hardstand-work scope keeps provenance visibl"
900mm,council-sourced-pending-verification,2,1467,concrete-crossovers-and-laybacks-oran-park,intersection,draft,YES,none — WITHDRAWN (D16),NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ising this exact intersection is: The footpath allocation in Oran Park starts 800mm from the property boundary, not the 900mm that applies across the rest of the Camden LGA. The allocation is 1200mm wide either way. Get the layback set-out wrong by that 100mm and the crossover fa"
900mm,council-sourced-pending-verification,1,1368,concrete-crossovers-and-laybacks-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in Driveway Crossover Cost NSW before it"
900mm,council-sourced-pending-verification,1,1366,concrete-driveway-replacement-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in How Long Before You Can Drive On Concr"
900mm,council-sourced-pending-verification,1,105,concrete-driveways-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in What Actually Moves A Concrete Quote b"
900mm,council-sourced-pending-verification,1,178,concrete-paths-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. pathway-work scope tracks intended use; pathway-work scope leaves an audit trail. path"
900mm,council-sourced-pending-verification,1,195,concrete-patios-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. alfresco-slab scope logs intended use; alfresco-slab scope keeps the basis explicit. a"
900mm,council-sourced-pending-verification,1,163,concrete-slabs-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in Shed Slab Cost before it is applied to"
900mm,council-sourced-pending-verification,1,1371,concreters-catherine-field,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Catherine Field starts, the governing lot and application pat"
900mm,council-sourced-pending-verification,1,1379,concreters-cobbitty,suburb,draft,no,none — unresearched,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Cobbitty starts, the governing lot and application path are c"
900mm,council-sourced-pending-verification,1,1376,concreters-currans-hill,suburb,draft,no,none — unresearched,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Currans Hill starts, the governing lot and application path a"
900mm,council-sourced-pending-verification,1,1378,concreters-elderslie,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Elderslie starts, the governing lot and application path are"
900mm,council-sourced-pending-verification,1,1370,concreters-gledswood-hills,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. For crossover work in Gledswood Hills , council geometry and the estate finish control"
900mm,council-sourced-pending-verification,1,969,concreters-gregory-hills,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Gregory Hills starts, the governing lot and application path"
900mm,council-sourced-pending-verification,1,1126,concreters-harrington-park,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Harrington Park starts, the governing lot and application pat"
900mm,council-sourced-pending-verification,1,1375,concreters-mount-annan,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Mount Annan starts, the governing lot and application path ar"
900mm,council-sourced-pending-verification,1,1372,concreters-narellan,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Narellan starts, the governing lot and application path are c"
900mm,council-sourced-pending-verification,4,474,concreters-oran-park,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"nowing before anyone quotes you: the footpath allocation in Oran Park starts 800mm from your property boundary, not the 900mm that applies across the rest of Camden. Get the crossover set-out wrong by that 100mm and it fails inspection. We build driveways, slabs, paths and outdoo"
900mm,council-sourced-pending-verification,1,1377,concreters-spring-farm,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Spring Farm starts, the governing lot and application path ar"
900mm,council-sourced-pending-verification,1,922,decorative-concrete-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in Honed And Polished Concrete before it"
900mm,council-sourced-pending-verification,1,129,exposed-aggregate-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. aggregate-finish scope records intended use; aggregate-finish scope retains the source"
900mm,council-sourced-pending-verification,1,1367,shed-and-garage-slabs-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ication is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. shed-slab scope documents intended use; shed-slab scope keeps provenance visible. shed"
